task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	ef/6a3293	29751	gatkHaplotypeCaller (8)	COMPLETED	0	2020-09-24 18:39:23.448	6m 1s	5m 56s	96.3%	1.6 GB	6.8 GB	181.7 MB	51.7 MB
5	43/c8747b	29629	gatkHaplotypeCaller (2)	COMPLETED	0	2020-09-24 18:39:23.201	8m 26s	8m 23s	97.0%	1.6 GB	6.8 GB	341.7 MB	13.4 MB
6	19/a41059	29663	gatkHaplotypeCaller (6)	COMPLETED	0	2020-09-24 18:39:23.303	9m 34s	9m 30s	92.9%	1.6 GB	6.8 GB	519.5 MB	11.5 MB
1	a3/f5a023	29649	gatkHaplotypeCaller (3)	COMPLETED	0	2020-09-24 18:39:23.265	10m 18s	10m 14s	95.3%	1.6 GB	6.8 GB	446.2 MB	11.8 MB
3	23/27585f	29635	gatkHaplotypeCaller (1)	COMPLETED	0	2020-09-24 18:39:23.234	10m 27s	10m 23s	93.1%	1.6 GB	6.8 GB	570.1 MB	11.5 MB
4	f3/1e1886	29746	gatkHaplotypeCaller (5)	COMPLETED	0	2020-09-24 18:39:23.416	13m 43s	13m 39s	100.4%	1.6 GB	6.8 GB	157 MB	100.2 MB
9	7d/a82ad8	29170	gatkHaplotypeCaller (9)	COMPLETED	0	2020-09-24 18:47:48.980	5m 50s	5m 46s	100.3%	1.6 GB	6.8 GB	164.7 MB	106.8 MB
7	0b/4dd751	29702	gatkHaplotypeCaller (7)	COMPLETED	0	2020-09-24 18:39:23.351	15m 27s	15m 22s	92.7%	1.6 GB	6.8 GB	469.3 MB	12.6 MB
13	27/e1cf2e	12875	gatkHaplotypeCaller (13)	COMPLETED	0	2020-09-24 18:49:49.869	5m 5s	5m	101.7%	1.6 GB	6.8 GB	183.8 MB	85.2 MB
10	e4/53a342	11831	gatkHaplotypeCaller (10)	COMPLETED	0	2020-09-24 18:45:24.785	9m 57s	9m 52s	96.9%	1.6 GB	6.8 GB	537 MB	11.7 MB
2	6e/5630aa	29789	gatkHaplotypeCaller (4)	COMPLETED	0	2020-09-24 18:39:23.496	18m 10s	18m 6s	95.0%	1.6 GB	6.8 GB	704.2 MB	11.7 MB
11	e7/0da6a0	5540	gatkHaplotypeCaller (11)	COMPLETED	0	2020-09-24 18:48:57.013	9m 4s	9m	97.2%	1.6 GB	6.8 GB	357.4 MB	13.2 MB
15	c1/9fd0ef	1560	gatkHaplotypeCaller (15)	COMPLETED	0	2020-09-24 18:53:38.522	4m 23s	4m 18s	102.3%	1.6 GB	6.8 GB	129.6 MB	102.4 MB
18	55/4e6e84	8908	gatkHaplotypeCaller (18)	COMPLETED	0	2020-09-24 18:54:50.137	5m 57s	5m 53s	98.0%	1.6 GB	6.8 GB	169.2 MB	99.2 MB
14	2d/0be0a6	30178	gatkHaplotypeCaller (14)	COMPLETED	0	2020-09-24 18:53:06.219	8m 55s	8m 52s	95.6%	1.6 GB	6.8 GB	455.7 MB	12.1 MB
16	cb/26894e	9502	gatkHaplotypeCaller (16)	COMPLETED	0	2020-09-24 18:54:54.566	11m 51s	11m 47s	96.6%	1.6 GB	6.8 GB	524.6 MB	12.3 MB
12	61/92ec0c	11411	gatkHaplotypeCaller (12)	COMPLETED	0	2020-09-24 18:49:41.760	18m 36s	18m 33s	97.0%	1.6 GB	6.9 GB	713 MB	11.3 MB
21	32/1cfe02	27567	gatkHaplotypeCaller (21)	COMPLETED	0	2020-09-24 18:57:33.535	10m 48s	10m 44s	102.0%	1.6 GB	6.8 GB	214.6 MB	75.5 MB
20	3b/5c21ed	31694	gatkHaplotypeCaller (20)	COMPLETED	0	2020-09-24 18:58:02.116	11m 10s	11m 5s	95.9%	1.6 GB	6.8 GB	506.9 MB	11.8 MB
22	16/1a4ec8	27571	gatkHaplotypeCaller (22)	COMPLETED	0	2020-09-24 19:02:01.241	11m 19s	11m 13s	94.6%	1.6 GB	6.8 GB	540.3 MB	11.7 MB
23	75/437455	19178	gatkHaplotypeCaller (23)	COMPLETED	0	2020-09-24 19:00:46.837	14m 10s	14m 6s	96.8%	1.6 GB	6.8 GB	617.2 MB	11.6 MB
17	6f/696a0f	31483	gatkHaplotypeCaller (17)	COMPLETED	0	2020-09-24 18:58:00.644	17m 17s	17m 12s	94.5%	1.6 GB	6.8 GB	719.9 MB	11.4 MB
26	1e/e324e1	1562	gatkHaplotypeCaller (26)	COMPLETED	0	2020-09-24 19:08:21.350	7m 26s	7m 23s	93.7%	1.6 GB	6.8 GB	216.7 MB	24.1 MB
24	a4/a02d88	23894	gatkHaplotypeCaller (24)	COMPLETED	0	2020-09-24 19:06:45.298	9m 32s	9m 28s	94.9%	1.6 GB	6.8 GB	463.7 MB	11.7 MB
19	85/c24fcd	13762	gatkHaplotypeCaller (19)	COMPLETED	0	2020-09-24 18:55:21.689	26m 49s	26m 45s	100.6%	1.6 GB	6.9 GB	481.6 MB	15 MB
27	c0/4bb896	28803	gatkHaplotypeCaller (27)	COMPLETED	0	2020-09-24 19:13:19.893	9m 18s	9m 14s	94.1%	1.6 GB	6.8 GB	452.3 MB	12.1 MB
29	bf/ddf357	4800	gatkHaplotypeCaller (29)	COMPLETED	0	2020-09-24 19:14:56.726	9m 3s	8m 58s	92.6%	1.6 GB	6.8 GB	448.3 MB	12.2 MB
36	e3/99ed39	11255	gatkHaplotypeCaller (36)	COMPLETED	0	2020-09-24 19:15:47.191	10m 52s	10m 47s	93.1%	1.6 GB	6.8 GB	541.8 MB	11.6 MB
30	30/cf8f44	7524	gatkHaplotypeCaller (30)	COMPLETED	0	2020-09-24 19:15:17.258	11m 28s	11m 23s	92.4%	1.6 GB	6.8 GB	567.3 MB	12.5 MB
31	7b/f744e2	16367	gatkHaplotypeCaller (31)	COMPLETED	0	2020-09-24 19:22:11.159	6m 5s	6m	96.6%	1.6 GB	6.8 GB	187.7 MB	95.1 MB
25	1f/49f581	984	gatkHaplotypeCaller (25)	COMPLETED	0	2020-09-24 19:08:18.193	21m 22s	21m 19s	95.0%	1.6 GB	6.9 GB	943.1 MB	11.3 MB
37	cd/bc0ccd	10963	gatkHaplotypeCaller (37)	COMPLETED	0	2020-09-24 19:26:45.281	5m 23s	5m 20s	99.9%	1.6 GB	6.8 GB	149 MB	92.2 MB
32	14/be4334	15047	gatkHaplotypeCaller (32)	COMPLETED	0	2020-09-24 19:16:17.261	16m 13s	16m 9s	93.4%	1.6 GB	6.9 GB	668.5 MB	11.3 MB
34	29/7f0ff6	27645	gatkHaplotypeCaller (34)	COMPLETED	0	2020-09-24 19:24:00.222	8m 36s	8m 31s	95.9%	1.6 GB	6.8 GB	340.9 MB	12.8 MB
35	00/4c551f	9891	gatkHaplotypeCaller (35)	COMPLETED	0	2020-09-24 19:26:38.788	9m	8m 57s	95.4%	1.6 GB	6.8 GB	361.6 MB	12.9 MB
44	2c/98c707	12176	gatkHaplotypeCaller (44)	COMPLETED	0	2020-09-24 19:32:35.766	5m 26s	5m 23s	94.2%	1.6 GB	6.8 GB	139 MB	116 MB
33	06/a6ed9e	19560	gatkHaplotypeCaller (33)	COMPLETED	0	2020-09-24 19:22:38.162	15m 28s	15m 24s	93.1%	1.6 GB	6.9 GB	629.7 MB	11.4 MB
38	af/f17713	19359	gatkHaplotypeCaller (38)	COMPLETED	0	2020-09-24 19:28:15.783	10m 59s	10m 55s	93.5%	1.6 GB	6.8 GB	531.3 MB	11.9 MB
39	ef/233a6a	26859	gatkHaplotypeCaller (39)	COMPLETED	0	2020-09-24 19:29:40.336	9m 38s	9m 35s	94.5%	1.6 GB	6.8 GB	384.8 MB	11.8 MB
28	20/80d9f4	7334	gatkHaplotypeCaller (28)	COMPLETED	0	2020-09-24 19:09:11.906	30m 17s	30m 12s	121.4%	1.9 GB	7 GB	452.2 MB	20.6 MB
43	d9/ad0667	30549	gatkHaplotypeCaller (43)	COMPLETED	0	2020-09-24 19:35:39.294	9m 44s	9m 39s	92.3%	1.6 GB	6.8 GB	360.2 MB	12.8 MB
46	96/ca65de	20631	gatkHaplotypeCaller (46)	COMPLETED	0	2020-09-24 19:39:14.864	7m 2s	6m 57s	97.0%	1.6 GB	6.8 GB	221 MB	51.2 MB
49	24/4a2773	23003	gatkHaplotypeCaller (49)	COMPLETED	0	2020-09-24 19:39:28.483	9m 45s	9m 42s	95.1%	1.6 GB	6.8 GB	503.4 MB	11.8 MB
42	93/a17a75	11809	gatkHaplotypeCaller (42)	COMPLETED	0	2020-09-24 19:38:01.976	12m 6s	12m 1s	95.9%	1.6 GB	6.8 GB	484 MB	11.8 MB
45	5d/8d82b9	21256	gatkHaplotypeCaller (45)	COMPLETED	0	2020-09-24 19:39:18.846	13m 27s	13m 22s	94.3%	1.6 GB	6.9 GB	619.6 MB	11.3 MB
48	f6/a635b9	29391	gatkHaplotypeCaller (48)	COMPLETED	0	2020-09-24 19:45:22.836	11m 38s	11m 34s	95.9%	1.6 GB	6.8 GB	566.2 MB	11.8 MB
53	42/e4d5e1	23283	gatkHaplotypeCaller (53)	COMPLETED	0	2020-09-24 19:50:07.581	7m 18s	7m 14s	98.1%	1.6 GB	6.8 GB	235.7 MB	37.8 MB
41	46/5d620b	11327	gatkHaplotypeCaller (41)	COMPLETED	0	2020-09-24 19:32:30.529	31m 8s	31m 3s	94.2%	1.6 GB	6.9 GB	1.4 GB	11.6 MB
55	f6/7c3347	22577	gatkHaplotypeCaller (55)	COMPLETED	0	2020-09-24 19:57:00.510	9m 49s	9m 45s	95.0%	1.6 GB	6.8 GB	315.8 MB	13.5 MB
54	8e/75b016	25232	gatkHaplotypeCaller (54)	COMPLETED	0	2020-09-24 19:57:25.962	10m 11s	10m 7s	93.2%	1.6 GB	6.9 GB	422.4 MB	13.4 MB
51	6a/85666b	2240	gatkHaplotypeCaller (51)	COMPLETED	0	2020-09-24 19:52:45.470	16m 20s	16m 17s	94.7%	1.6 GB	6.8 GB	719.2 MB	11.4 MB
52	67/c80598	18686	gatkHaplotypeCaller (52)	COMPLETED	0	2020-09-24 19:49:13.816	20m 23s	20m 19s	96.4%	1.6 GB	6.9 GB	792.1 MB	11.4 MB
50	96/8b4709	2405	gatkHaplotypeCaller (50)	COMPLETED	0	2020-09-24 19:46:16.726	23m 59s	23m 54s	94.6%	1.6 GB	6.8 GB	530.1 MB	21 MB
60	93/6f3eb6	6843	gatkHaplotypeCaller (60)	COMPLETED	0	2020-09-24 20:09:37.159	5m 1s	4m 57s	99.5%	1.6 GB	6.8 GB	144.1 MB	100.9 MB
47	3f/caa307	12505	gatkHaplotypeCaller (47)	COMPLETED	0	2020-09-24 19:38:06.182	36m 36s	36m 32s	97.7%	1.6 GB	6.9 GB	1.2 GB	11.3 MB
56	b6/15e016	16031	gatkHaplotypeCaller (56)	COMPLETED	0	2020-09-24 20:03:38.547	11m 5s	11m	91.7%	1.6 GB	6.8 GB	569.5 MB	11.4 MB
57	90/470aca	4133	gatkHaplotypeCaller (57)	COMPLETED	0	2020-09-24 20:09:05.442	11m 26s	11m 21s	96.0%	1.6 GB	6.8 GB	468.3 MB	15.2 MB
58	a2/930d75	27476	gatkHaplotypeCaller (58)	COMPLETED	0	2020-09-24 20:06:49.390	14m 26s	14m 22s	96.3%	1.6 GB	6.8 GB	283.5 MB	44.9 MB
64	d5/b87be1	30780	gatkHaplotypeCaller (64)	COMPLETED	0	2020-09-24 20:07:37.374	14m 11s	14m 6s	93.9%	1.6 GB	6.8 GB	657.9 MB	11.5 MB
63	f2/a05374	3603	gatkHaplotypeCaller (63)	COMPLETED	0	2020-09-24 20:14:42.248	9m 13s	9m 9s	93.9%	1.6 GB	6.8 GB	472.3 MB	12.3 MB
59	9f/7e3283	10715	gatkHaplotypeCaller (59)	COMPLETED	0	2020-09-24 20:10:16.056	14m 7s	14m 3s	96.1%	1.6 GB	6.8 GB	335.9 MB	22.9 MB
62	28/b28197	3971	gatkHaplotypeCaller (62)	COMPLETED	0	2020-09-24 20:14:43.688	12m 11s	12m 8s	93.7%	1.6 GB	6.9 GB	617.2 MB	11.5 MB
65	da/f90620	9408	gatkHaplotypeCaller (65)	COMPLETED	0	2020-09-24 20:21:15.571	5m 43s	5m 39s	97.9%	1.6 GB	6.8 GB	157.7 MB	85.2 MB
68	c0/8a9688	12740	gatkHaplotypeCaller (68)	COMPLETED	0	2020-09-24 20:21:48.548	6m 59s	6m 54s	97.9%	1.6 GB	6.8 GB	151.8 MB	104.2 MB
66	c3/eeb84d	5077	gatkHaplotypeCaller (66)	COMPLETED	0	2020-09-24 20:20:31.658	9m 53s	9m 49s	94.3%	1.6 GB	6.8 GB	488.2 MB	12 MB
69	71/1ac786	24685	gatkHaplotypeCaller (69)	COMPLETED	0	2020-09-24 20:23:54.965	7m 23s	7m 18s	97.4%	1.6 GB	6.8 GB	210.3 MB	72.1 MB
71	a3/59ec64	10687	gatkHaplotypeCaller (71)	COMPLETED	0	2020-09-24 20:26:58.684	5m 55s	5m 51s	95.0%	1.6 GB	7 GB	164.6 MB	99.5 MB
70	cb/e0f4bb	28021	gatkHaplotypeCaller (70)	COMPLETED	0	2020-09-24 20:24:23.322	8m 50s	8m 46s	94.5%	1.6 GB	6.8 GB	409.8 MB	13.1 MB
67	c9/f7ea94	9938	gatkHaplotypeCaller (67)	COMPLETED	0	2020-09-24 20:26:55.117	8m 50s	8m 47s	94.6%	1.6 GB	6.8 GB	460.6 MB	11.7 MB
74	b7/2e3da6	4323	gatkHaplotypeCaller (74)	COMPLETED	0	2020-09-24 20:31:17.610	5m 43s	5m 38s	97.9%	1.6 GB	6.8 GB	167.4 MB	68.7 MB
61	6e/f85b9f	2878	gatkHaplotypeCaller (61)	COMPLETED	0	2020-09-24 20:14:37.918	22m 48s	22m 44s	95.8%	1.6 GB	6.8 GB	482.2 MB	20.2 MB
