task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	9a/713264	5191	mem (6)	COMPLETED	0	2020-09-21 17:51:14.834	4m 46s	4m 42s	95.9%	1.2 GB	1.4 GB	253.3 MB	1.1 GB
8	68/384d57	5139	mem (7)	COMPLETED	0	2020-09-21 17:51:14.721	6m	5m 56s	96.4%	1.2 GB	1.4 GB	334.4 MB	1.5 GB
9	95/4f39f1	5114	mem (8)	COMPLETED	0	2020-09-21 17:51:14.608	10m 52s	10m 48s	97.6%	1.2 GB	1.4 GB	567.4 MB	2.6 GB
6	26/dfd9f0	5163	mem (5)	COMPLETED	0	2020-09-21 17:51:14.785	11m 28s	11m 24s	98.0%	1.2 GB	1.5 GB	565 MB	2.2 GB
10	5a/8f9bd0	32632	mem (9)	COMPLETED	0	2020-09-21 17:56:00.961	7m 7s	7m 4s	96.6%	1.2 GB	1.5 GB	370.8 MB	1.7 GB
11	4e/8a79e7	6913	mem (10)	COMPLETED	0	2020-09-21 17:57:15.076	6m 36s	6m 33s	96.2%	1.2 GB	1.5 GB	336.1 MB	1.5 GB
12	66/af3ff8	29072	mem (11)	COMPLETED	0	2020-09-21 18:02:07.093	6m 30s	6m 26s	96.4%	1.2 GB	1.4 GB	331 MB	1.5 GB
14	2f/373c6a	31006	mem (13)	COMPLETED	0	2020-09-21 18:02:43.225	6m 3s	6m	96.4%	931.7 MB	1.1 GB	190.3 MB	1.1 GB
4	d3/126117	5199	mem (3)	COMPLETED	0	2020-09-21 17:51:14.858	17m 39s	17m 35s	98.5%	1.1 GB	1.4 GB	932.4 MB	3.6 GB
17	2f/265a65	18368	mem (16)	COMPLETED	0	2020-09-21 18:08:46.691	1m 35s	1m 31s	94.6%	553 MB	756.7 MB	55.3 MB	233.2 MB
18	11/e8996d	17547	mem (17)	COMPLETED	0	2020-09-21 18:08:36.741	3m 29s	3m 25s	96.8%	1.1 GB	1.3 GB	106.4 MB	709.9 MB
13	7d/85508a	2996	mem (12)	COMPLETED	0	2020-09-21 18:03:50.722	8m 27s	8m 25s	96.8%	1.1 GB	1.3 GB	259.7 MB	1.7 GB
