task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	6f/a6d8fd	25234	bwaMem (4)	COMPLETED	0	2020-09-17 14:41:33.853	1m 12s	1m 12s	86.0%	277.1 MB	1 GB	256.5 MB	254.3 MB
5	58/9f764b	25253	bwaMem (1)	COMPLETED	0	2020-09-17 14:41:33.889	1m 24s	1m 24s	86.0%	321.6 MB	1 GB	257.6 MB	260.9 MB
7	cd/52d896	25200	bwaMem (8)	COMPLETED	0	2020-09-17 14:41:33.790	3m 5s	3m 5s	90.1%	641.1 MB	1.1 GB	604.7 MB	623.8 MB
13	66/1ca96b	6804	bwaMem (12)	COMPLETED	0	2020-09-17 14:42:58.195	2m 28s	2m 27s	90.5%	442.4 MB	1 GB	436.5 MB	419.9 MB
12	25/3c1499	5173	bwaMem (11)	COMPLETED	0	2020-09-17 14:42:46.236	3m 53s	3m 53s	90.6%	647.7 MB	1.1 GB	681.4 MB	660.1 MB
4	ae/33b8b0	25181	bwaMem (7)	COMPLETED	0	2020-09-17 14:41:33.726	7m	6m 59s	94.6%	1 GB	1.3 GB	2 GB	2 GB
9	b5/d10a38	25190	bwaMem (3)	COMPLETED	0	2020-09-17 14:41:33.761	7m 25s	7m 24s	94.3%	1 GB	1.3 GB	2 GB	2.1 GB
2	d9/db4c26	25215	bwaMem (5)	COMPLETED	0	2020-09-17 14:41:33.817	7m 27s	7m 27s	94.5%	1 GB	1.3 GB	2 GB	2 GB
11	aa/a6bb99	24501	bwaMem (10)	COMPLETED	0	2020-09-17 14:45:25.775	4m 33s	4m 32s	93.1%	763.8 MB	1.1 GB	827.3 MB	795.6 MB
8	78/69cb97	25161	bwaMem (2)	COMPLETED	0	2020-09-17 14:41:33.609	8m 26s	8m 26s	96.0%	1.1 GB	1.4 GB	2.5 GB	2.5 GB
14	c3/deabae	13511	bwaMem (13)	COMPLETED	0	2020-09-17 14:48:33.629	3m 34s	3m 33s	94.2%	648.9 MB	1.1 GB	707.6 MB	683.1 MB
18	01/9a7957	878	bwaMem (17)	COMPLETED	0	2020-09-17 14:46:39.679	6m 52s	6m 52s	96.7%	1.1 GB	1.3 GB	1.9 GB	1.9 GB
19	e5/479d87	24686	bwaMem (18)	COMPLETED	0	2020-09-17 14:49:59.981	5m 5s	5m 4s	91.4%	933.2 MB	1.2 GB	938.4 MB	978.8 MB
17	cc/a0ed87	17247	bwaMem (16)	COMPLETED	0	2020-09-17 14:49:00.957	6m 43s	6m 42s	93.5%	1 GB	1.4 GB	1.5 GB	1.5 GB
22	45/1fa96f	26530	bwaMem (21)	COMPLETED	0	2020-09-17 14:55:04.863	1m 12s	1m 11s	91.9%	292.9 MB	1.1 GB	237.9 MB	240 MB
3	55/7f0ebb	25171	bwaMem (6)	COMPLETED	0	2020-09-17 14:41:33.675	15m 34s	15m 34s	95.5%	1 GB	1.4 GB	3.9 GB	3.7 GB
20	79/06c051	24375	bwaMem (19)	COMPLETED	0	2020-09-17 14:49:58.607	7m 14s	7m 13s	94.8%	1 GB	1.4 GB	1.9 GB	1.9 GB
10	93/bdc0e7	18710	bwaMem (9)	COMPLETED	0	2020-09-17 14:44:38.893	13m	12m 59s	96.1%	1 GB	1.4 GB	3 GB	2.9 GB
24	e5/d4578e	1893	bwaMem (23)	COMPLETED	0	2020-09-17 14:56:16.465	1m 48s	1m 48s	92.4%	362.1 MB	1 GB	312.5 MB	300 MB
16	4d/93e366	16655	bwaMem (15)	COMPLETED	0	2020-09-17 14:53:31.575	4m 52s	4m 52s	94.3%	794.7 MB	1.1 GB	864.7 MB	835.6 MB
15	04/424900	16825	bwaMem (14)	COMPLETED	0	2020-09-17 14:48:58.569	12m 4s	12m 3s	96.2%	1.1 GB	1.4 GB	3 GB	2.9 GB
27	cc/8d9024	6781	bwaMem (26)	COMPLETED	0	2020-09-17 14:57:07.634	4m 55s	4m 55s	91.7%	746.4 MB	1.1 GB	808.2 MB	796 MB
25	d5/b79514	7499	bwaMem (24)	COMPLETED	0	2020-09-17 14:57:12.172	6m 30s	6m 30s	95.5%	1 GB	1.3 GB	1.8 GB	1.8 GB
26	ed/237374	11246	bwaMem (25)	COMPLETED	0	2020-09-17 14:57:38.847	6m 9s	6m 9s	95.4%	1 GB	1.3 GB	1.7 GB	1.7 GB
