task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	2f/f228bb	19692	samtoolsIndex (9)	COMPLETED	0	2020-09-18 16:30:56.111	4s	3.7s	36.7%	6.1 MB	29.5 MB	51.1 MB	13.2 KB
8	4a/3c06de	19688	samtoolsIndex (7)	COMPLETED	0	2020-09-18 16:30:56.091	6.4s	6s	62.6%	6 MB	29.5 MB	109 MB	13.5 KB
2	69/049f55	19756	samtoolsIndex (1)	COMPLETED	0	2020-09-18 16:30:56.201	7.3s	6.7s	49.7%	6.4 MB	29.6 MB	127.6 MB	14 KB
9	37/e75b00	19765	samtoolsIndex (8)	COMPLETED	0	2020-09-18 16:30:56.222	11.6s	10.7s	63.3%	6.1 MB	29.5 MB	275.1 MB	13.8 KB
6	2f/3ef2b9	21582	samtoolsIndex (5)	COMPLETED	0	2020-09-18 16:31:02.515	5.8s	5.3s	79.0%	6.2 MB	29.5 MB	148.6 MB	13.7 KB
4	ae/b0d286	19684	samtoolsIndex (3)	COMPLETED	0	2020-09-18 16:30:56.050	13.3s	12.8s	70.2%	6.1 MB	29.6 MB	348.9 MB	14 KB
5	03/1f257a	19734	samtoolsIndex (4)	COMPLETED	0	2020-09-18 16:30:56.168	13.9s	13.5s	64.3%	6.1 MB	29.5 MB	345.9 MB	13.9 KB
14	9d/cb2d4f	23344	samtoolsIndex (13)	COMPLETED	0	2020-09-18 16:31:08.326	3s	2.5s	77.6%	6.1 MB	29.5 MB	71.9 MB	13.4 KB
7	7b/d3140a	19780	samtoolsIndex (6)	COMPLETED	0	2020-09-18 16:30:56.253	15.6s	15.1s	74.7%	6.3 MB	29.6 MB	439.3 MB	14.3 KB
17	c2/2e1937	23954	samtoolsIndex (16)	COMPLETED	0	2020-09-18 16:31:10.082	2.1s	1.7s	87.8%	4.6 MB	29.5 MB	60.9 MB	13.4 KB
11	03/c671ba	19709	samtoolsIndex (10)	COMPLETED	0	2020-09-18 16:30:56.146	16.1s	15.7s	75.7%	6.1 MB	29.6 MB	480 MB	14.4 KB
12	ef/a92ae3	21918	samtoolsIndex (11)	COMPLETED	0	2020-09-18 16:31:03.505	10s	9.8s	90.0%	6.1 MB	29.5 MB	348.7 MB	13.9 KB
15	b0/761a77	23765	samtoolsIndex (14)	COMPLETED	0	2020-09-18 16:31:09.329	7.3s	7s	93.8%	6.2 MB	29.5 MB	281.3 MB	13.9 KB
13	4a/9e9b86	23209	samtoolsIndex (12)	COMPLETED	0	2020-09-18 16:31:07.790	9.5s	9.2s	93.4%	6.3 MB	29.6 MB	424.8 MB	14.5 KB
21	00/c71a95	25341	samtoolsIndex (20)	COMPLETED	0	2020-09-18 16:31:13.548	3.9s	3.7s	61.7%	6 MB	29.5 MB	97.3 MB	13.4 KB
19	85/ff9c16	24564	samtoolsIndex (18)	COMPLETED	0	2020-09-18 16:31:11.879	7s	6.6s	94.1%	6.1 MB	29.5 MB	300.3 MB	13.7 KB
20	76/c4d5cb	24882	samtoolsIndex (19)	COMPLETED	0	2020-09-18 16:31:12.298	7.4s	7.1s	90.2%	6.1 MB	29.5 MB	298.8 MB	13.6 KB
23	49/991b9b	26245	samtoolsIndex (22)	COMPLETED	0	2020-09-18 16:31:16.647	7.8s	7.5s	93.7%	6.2 MB	29.6 MB	346.2 MB	13.9 KB
25	02/2aea63	27026	samtoolsIndex (24)	COMPLETED	0	2020-09-18 16:31:18.861	7.4s	7s	91.2%	6.1 MB	29.5 MB	290.1 MB	13.8 KB
24	fa/fd808d	26594	samtoolsIndex (23)	COMPLETED	0	2020-09-18 16:31:17.501	9s	8.7s	90.2%	6.4 MB	29.6 MB	317.3 MB	14.4 KB
26	85/fb6529	27308	samtoolsIndex (25)	COMPLETED	0	2020-09-18 16:31:19.710	9s	8.8s	77.0%	6.2 MB	29.5 MB	265.9 MB	13.7 KB
27	e0/57f60a	28529	samtoolsIndex (26)	COMPLETED	0	2020-09-18 16:31:24.483	5.8s	5.3s	90.6%	6.2 MB	29.5 MB	202.1 MB	13.9 KB
3	12/908ec5	20896	samtoolsIndex (2)	COMPLETED	0	2020-09-18 16:31:00.175	30.2s	29.8s	91.2%	6.3 MB	29.8 MB	730.8 MB	22 KB
28	1f/9f10bb	29028	samtoolsIndex (27)	COMPLETED	0	2020-09-18 16:31:26.295	6.2s	6.1s	93.0%	6.3 MB	29.5 MB	254 MB	13.7 KB
32	a1/da48c9	30234	samtoolsIndex (31)	COMPLETED	0	2020-09-18 16:31:30.424	3.1s	2.6s	77.2%	6.1 MB	29.5 MB	90.4 MB	13.7 KB
16	4b/69f5e9	24804	samtoolsIndex (15)	COMPLETED	0	2020-09-18 16:31:12.192	21.4s	21.2s	94.2%	6.3 MB	29.8 MB	896.4 MB	16.3 KB
22	39/b3f271	26468	samtoolsIndex (21)	COMPLETED	0	2020-09-18 16:31:17.328	17.9s	17.6s	95.3%	6.2 MB	29.6 MB	673.9 MB	15 KB
29	51/b61f8c	29108	samtoolsIndex (28)	COMPLETED	0	2020-09-18 16:31:26.517	8.8s	8.3s	85.6%	6.2 MB	29.5 MB	331.3 MB	13.8 KB
35	81/3dc7ab	31035	samtoolsIndex (34)	COMPLETED	0	2020-09-18 16:31:33.508	3.1s	2.9s	95.4%	6.1 MB	29.5 MB	119.2 MB	13.8 KB
30	14/530d46	29796	samtoolsIndex (29)	COMPLETED	0	2020-09-18 16:31:28.764	10s	9.2s	93.0%	6.4 MB	29.8 MB	389.9 MB	15.5 KB
34	16/c390d1	30713	samtoolsIndex (33)	COMPLETED	0	2020-09-18 16:31:32.548	7.5s	7.2s	92.5%	6.2 MB	29.5 MB	292.1 MB	13.8 KB
36	ca/fcffc1	31513	samtoolsIndex (35)	COMPLETED	0	2020-09-18 16:31:35.191	8.6s	8.3s	94.4%	6.2 MB	29.6 MB	355.9 MB	13.9 KB
40	16/8813bd	623	samtoolsIndex (39)	COMPLETED	0	2020-09-18 16:31:40.091	4.3s	3.8s	74.2%	6.1 MB	29.5 MB	103.9 MB	13.7 KB
